SDK,API,class
Quantcast,activityStop,QuantcastClient
Quantcast,setAppLabels,QuantcastClient
Quantcast,setUsingSecureConnections,QuantcastClient
Quantcast,showAboutQuantcastScreen,QuantcastClient
Quantcast,recordUserIdentifier,QuantcastClient
Quantcast,enableLogging,QuantcastClient
Tapjoy,setUserConsent,TJPrivacyPolicy
Tapjoy,setSubjectToGDPR,TJPrivacyPolicy
Tapjoy,setBelowConsentAge,TJPrivacyPolicy
Tapjoy,setUSPrivacy,TJPrivacyPolicy
Tapjoy,optOutAdvertisingID,Tapjoy
CleverTap,setOptOut,CleverTapAPI
CleverTap,enableDeviceNetworkInfoReporting,CleverTapAPI
CleverTap,setOffline,CleverTapAPI
CleverTap,setLocation,CleverTapAPI
CleverTap,setEncryptionLevel,"CleverTapAPI,CleverTapInstanceConfig"
AppsFlyer,anonymizeUser,AppsFlyerLib
AppsFlyer,setConsentData,AppsFlyerLib
AppsFlyer,enableTCFDataCollection,AppsFlyerLib
AppsFlyer,setSharingFilterForPartners,AppsFlyerLib
AppsFlyer,setDisableAdvertisingIdentifiers,AppsFlyerLib
AppsFlyer,sendConsentForDMACompliance,
AppsFlyer,setCollectOaid,AppsFlyerLib
AppsFlyer,start,AppsFlyerLib
Localytics,setOptedOut,",Localytics"
Localytics,setPrivacyOptedOut,",Localytics"
Localytics,pauseDataUploading,",Localytics"
Localytics,setCustomerIdWithPrivacyOptedOut,",Localytics"
Localytics,setLocationMonitoringEnabled,",Localytics"
Nimbus,setGdprConsent,"RequestManager,NimbusAdManager,NimbusAdManager / RequestManager"
Nimbus,setUser,"RequestManager,NimbusAdManager,NimbusAdManager / RequestManager"
Nimbus,COPPA,Nimbus
Nimbus,setUsPrivacyString,",Nimbus"
Nimbus,setCOPPA,Nimbus
Nimbus,setCcpaPrivacyString,Nimbus
Nimbus,usPrivacyString,Nimbus
Appodeal,setChildDirectedTreatment,Appodeal
Appodeal,requestConsentInfoUpdate,ConsentManager
Appodeal,revoke,ConsentManager
Appodeal,loadAndShowConsentFormIfRequired,ConsentManager
AppLovin,setHasUserConsent,AppLovinPrivacySettings
AppLovin,setIsAgeRestrictedUser,AppLovinPrivacySettings
AppLovin,setDoNotSell,AppLovinPrivacySettings
MobileFuse,setPrivacyPreferences,MobileFuse
MobileFuse,setAllowLocation,MobileFuseTargetingData
Visual Studio App Center,setUserId,AppCenter
Visual Studio App Center,setEnabled,AppCenter
Visual Studio App Center,setNetworkRequestsAllowed,AppCenter
Visual Studio App Center,pause,Analytics
Visual Studio App Center,resume,Analytics
Visual Studio App Center,trackError,Crashes
Visual Studio App Center,shouldAwaitUserConfirmation,Crashes
Visual Studio App Center,notifyUserConfirmation,Crashes
Visual Studio App Center,getErrorAttachments,Crashes
TopOn,deniedUploadDeviceInfo,ATSDK
TopOn,setGDPRUploadDataLevel,ATSDK
TopOn,showGDPRConsentDialog,ATSDK
TopOn,showGdprAuth,ATSDK
Vungle(liftoff),setGDPRStatus,VunglePrivacySettings
Vungle(liftoff),setCOPPAStatus,VunglePrivacySettings
Vungle(liftoff),setCCPAStatus,VunglePrivacySettings
Vungle(liftoff),setPublishAndroidId,VunglePrivacySettings
Vungle(liftoff),getGDPRStatus,VunglePrivacySettings
Vungle(liftoff),getCCPAStatus,VunglePrivacySettings
PubNative(verve),setLocationTrackingEnabled,HyBid
PubNative(verve),setLocationUpdatesEnabled,HyBid
PubNative(verve),setCoppaEnabled,HyBid
PubNative(verve),setAge,HyBid
PubNative(verve),setGender,HyBid
PubNative(verve),setKeywords,HyBid
GameAnalytics,setEnabledEventSubmission,GameAnalytics
GameAnalytics,setGlobalCustomEventFields,GameAnalytics
GameAnalytics,startSession,GameAnalytics
GameAnalytics,endSession,GameAnalytics
GameAnalytics,SetGlobalCustomEventFields,GameAnalytics
GameAnalytics,SetCustomDimension01,GameAnalytics
GameAnalytics,setEnabledManualSessionHandling,GameAnalytics
Pollfish,initialize,Prodege
Pollfish,loadRewardedAd,Prodege
Pollfish,loadOfferwall,Prodege
Pollfish,showPlacement,Prodege
Pollfish,optOut,",Prodege"
Pollfish,userId,InitOptions.Builder
Pollfish,advertisingOptOut,InitOptions.Builder
Pollfish,updatePrivacyPolicy,
Pollfish,userProperties,InitOptions.Builder
Kochava,setIntelligentConsentGranted,Tracker
Kochava,registerPrivacyProfile,Tracker
Kochava,setPrivacyProfileEnabled,Tracker
Kochava,setAppLimitAdTracking,Tracker
Kochava,retrieveDeviceId,Tracker
Kochava,shutdown,Tracker
Tenjin,optIn,TenjinSDK
Tenjin,optOut,TenjinSDK
Tenjin,optInParams,TenjinSDK
Tenjin,optOutParams,TenjinSDK
Tenjin,setGoogleDMAParameters,TenjinSDK
Tenjin,optInOutUsingCMP,TenjinSDK
Tenjin,transaction,TenjinSDK
Tenjin,eventWithName,TenjinSDK
Tenjin,setCustomerUserId,TenjinSDK
Tenjin,getAnalyticsInstallationId,TenjinSDK
Tenjin,setCacheEventSetting,TenjinSDK
Tenjin,optInGoogleDMA,TenjinSDK
Tenjin,optOutGoogleDMA,TenjinSDK
Splunk MINT,setUserIdentifier,Mint
Splunk MINT,setUserOptOut,Mint
Branch,disableTracking,Branch
Branch,setLimitFacebookTracking,Branch
Branch,setDMAParamsForEEA,Branch
Branch,setIdentity,Branch
Branch,disableAdNetworkCallouts,Branch
Branch,setRequestMetadata,Branch
Branch,addInstallMetadata,Branch
Branch,isUserIdentified,Branch
Branch,logout,Branch
Branch,getLastAttributedTouchData,Branch
Branch,addFacebookPartnerParameterWithName,Branch
Branch,initSession,Branch
Branch,setFBAppID,Branch
Branch,useEUEndpoint,Branch
AdMob UMP,setTagForUnderAgeOfConsent,ConsentRequestParameters.Builder
AdMob UMP,requestConsentInfoUpdate,ConsentInformation
AdMob UMP,showPrivacyOptionsForm,UserMessagingPlatform
AdMob UMP,getConsentInformation,UserMessagingPlatform
adMost,setUserConsent,AdMostConfiguration
adMost,setSubjectToGDPR,AdMostConfiguration
adMost,setSubjectToCCPA,AdMostConfiguration
adMost,setUserChild,AdMostConfiguration
adMost,setPrivacyConsentListener,AdMost
adMost,init,AdMost
Adobe App Measurement for Android,getConsents,Consent
Adobe App Measurement for Android,updateConsents,Consent
Adobe App Measurement for Android,setPrivacyStatus,MobileCore
Adobe App Measurement for Android,getPrivacyStatus,MobileCore
Adobe App Measurement for Android,getSdkIdentities,MobileCore
Adobe App Measurement for Android,resetIdentities,MobileCore
Adobe App Measurement for Android,setPushIdentifier,MobileCore
Adobe App Measurement for Android,collectPii,MobileCore
Adobe App Measurement for Android,setAppGroup,MobileCore
Criteo,setUsPrivacyOptOut,Criteo
Criteo,setTagForChildDirectedTreatment,Criteo
Facebook Audience Network,setMixedAudience,AdSettings
Facebook Audience Network,setAdvertiserTrackingEnabled,FBSDKSettings
Facebook Audience Network,setAutoLogAppEventsEnabled,FBSDKSettings
Facebook Audience Network,setDataProcessingOptions,FBSDKSettings
BidMachine,setCoppa,BidMachine
BidMachine,setSubjectToGDPR,BidMachine
BidMachine,setConsentConfig,BidMachine
BidMachine,setUSPrivacyString,BidMachine
BidMachine,setGPP,BidMachine
Startapp,setUserConsent,StartAppSDK
Startapp,putString,StartAppSDK
Startapp,getExtras,StartAppSDK
Startapp,setAutoInterstitialPreferences,StartAppAd
Pangle,setChildDirected,PAGConfig.Builder
Pangle,setGDPRConsent,PAGConfig.Builder
Pangle,setDoNotSell,PAGConfig.Builder
Ogury,setConsent,"OguryChoiceManagerExternal,OguryChoiceManagerExternal.TcfV2"
Ogury,applyChildPrivacy,",Ogury"
Ogury,setAdContentThreshold,OguryAdRequests
Ogury,ask,OguryChoiceManager
Ogury,edit,OguryChoiceManager
Braze,setLastKnownLocation,BrazeUser
Braze,disableSDK,Braze
Braze,enableSDK,Braze
Braze,wipeData,Braze
Braze,logPurchase,"IBraze,Braze"
Batch.com,updateAutomaticDataCollection,Batch
Batch.com,optOut,Batch
Batch.com,optOutAndWipeData,Batch
Batch.com,optIn,Batch
Batch.com,setGeoIPEnabled,Batch
Batch.com,setDeviceBrandEnabled,Batch
Batch.com,setDeviceModelEnabled,Batch
Unity Ads,setMetaData,Advertisement
Unity Ads,Implementing user-level age designations,
Unity Ads,Developer Consent API,",Advertisement"
Unity Ads,SetMetaData,"Advertisement,MetaData"
Unity Ads,Implementing custom age gates,Advertisement
Unity Ads,Implementing Custom Age Gates,MetaData
Unity Ads,Custom Consent Implementation,MetaData
Unity Ads,setConsent,Advertisement
Unity Ads,setAgeDesignation,Advertisement
Unity Ads,nonbehavioral metadata API,Advertisement
Unity Ads,GDPR consent API,Advertisement
Unity Ads,PIPL consent API,Advertisement
Countly,setLocation,"Countly,CountlyConfig"
Countly,disableLocation,Countly
Countly,setRequiresConsent,CountlyConfig
Countly,giveConsent,Countly
Countly,removeConsent,Countly
Countly,enableCrashReporting,CountlyConfig
Countly,setParameterTamperingProtectionSalt,CountlyConfig
Countly,enablePublicKeyPinning,CountlyConfig
Countly,setDisableLocation,CountlyConfig
Countly,setConsentFeatureGroup,Countly
Countly,setConsent,Countly
Countly,enableTemporaryDeviceIdMode,Countly
Countly,changeWithMerge,CountlyDeviceId
Countly,changeWithoutMerge,CountlyDeviceId
Countly,setTrackOrientationChanges,CountlyConfig
Countly,addAppCrawlerName,CountlyConfig
Smart AdServer,Passing user's consent to Smart Display SDK,
Smart AdServer,Automatic location retrieval,
Smart AdServer,Passing CCPA consent string to Smart Display SDK,
Smart AdServer,User and App Identifiers,
Smart AdServer,GPP,
Smart AdServer,CMP,
Smart AdServer,Passing user consent to Smart Display SDK,
Smart AdServer,Automatic Location Retrieval,
Smart AdServer,retrieveUserConsent,
Smart AdServer,setConsentString,
Smart AdServer,setCCPAString,
Smart AdServer,automaticLocationRetrieval,
Chartboost,addDataUseConsent,Chartboost
Chartboost,clearDataUseConsent,Chartboost
Bigo Ads,setUserConsent,BigoAdSdk
Firebase,setAnalyticsCollectionEnabled,FirebaseAnalytics
Firebase,setConsent,FirebaseAnalytics
Firebase,logEvent,FirebaseAnalytics
Firebase,resetAnalyticsData,FirebaseAnalytics
Firebase,setUserId,FirebaseAnalytics
Firebase,setUserProperty,FirebaseAnalytics
Firebase,setSessionTimeoutDuration,FirebaseAnalytics
AppNexus(Xandr),setConsentRequired,ANGDPRSettings
AppNexus(Xandr),setConsentString,ANGDPRSettings
AppNexus(Xandr),setPurposeConsents,ANGDPRSettings
AppNexus(Xandr),setUSPrivacyString,ANUSPrivacySettings
AppNexus(Xandr),getUSPrivacyString,ANUSPrivacySettings
AppNexus(Xandr),reset,ANUSPrivacySettings
AppNexus(Xandr),setDSARequired,ANDSASettings
AppNexus(Xandr),setPubRender,ANDSASettings
AppNexus(Xandr),setTransparencyList,ANDSASettings
AppNexus(Xandr),getDSARequired,ANDSASettings
AppNexus(Xandr),getPubRender,ANDSASettings
AppNexus(Xandr),getTransparencyList,ANDSASettings
Segment,optOut,Analytics
Segment,anonymizeIP,Analytics
Segment,anonymizeIp,
Digital Turbine FairBid,setGdprConsent,UserInfo
Digital Turbine FairBid,setIabUsPrivacyString,UserInfo
Digital Turbine FairBid,clearIabUsPrivacyString,UserInfo
Digital Turbine FairBid,setLgpdConsent,UserInfo
Digital Turbine FairBid,setGdprConsentString,UserInfo
InMobi,setIsAgeRestricted,InMobiSdk
InMobi,setDoNotSell,InMobiPrivacyCompliance
InMobi,setUSPrivacyString,InMobiPrivacyCompliance
InMobi,init,InMobiSdk
InMobi,getCustomAdContent,InMobiNative
InMobi,reportAdClickAndOpenLandingPage,InMobiNative
Smaato,setLgpdConsentEnabled,SmaatoSdk
Smaato,setCmprConsentEnabled,SmaatoSdk
Smaato,setUsPrivacyString,SmaatoSdk
Smaato,setGpprConsent,SmaatoSdk
Smaato,init,SmaatoSdk
Smaato,setCoppa,SmaatoSdk
Smaato,setGdprConsent,SmaatoSdk
Smaato,setLgpdConsent,SmaatoSdk
Google Analytics,setAppOptOut,GoogleAnalytics
Google Analytics,enableAutoActivityReports,GoogleAnalytics
Google Analytics,getAppOptOut,GoogleAnalytics
Google Analytics,dispatchLocalHits,GoogleAnalytics
Google Analytics,setLocalDispatchPeriod,GoogleAnalytics
Google Analytics,newTracker,GoogleAnalytics
Google Analytics,enableExceptionReporting,Tracker
Google Analytics,reportActivityStart,GoogleAnalytics
Google Analytics,reportActivityStop,GoogleAnalytics
Google Analytics,isDryRunEnabled,GoogleAnalytics
Google Analytics,setDryRun,GoogleAnalytics
AppBrain SDK,tagForChildDirectedTreatment,"AppBrain,AppBrain.Ads,AppBrain.getAds()"
AppBrain SDK,setUserData,"AppBrain,AppBrain.Ads,AppBrain.getAds()"
Ironsource,setConsent,IronSource
Ironsource,setMetaData,IronSource
Adjust,gdprForgetMe,
Adjust,AdjustThirdPartySharing,"AdjustThirdPartySharing,"
Adjust,addGranularOption,"AdjustThirdPartySharing,"
Adjust,setUrlStrategy,",AdjustConfig"
Adjust,trackMeasurementConsent,
Adjust,enableCoppaCompliance,",AdjustConfig"
Adjust,enablePlayStoreKidsCompliance,",AdjustConfig"
Adjust,disableThirdPartySharing,
Adjust,trackThirdPartySharing,AdjustThirdPartySharing
Adjust,addPartnerSharingSetting,AdjustThirdPartySharing
Adjust,setCoppaCompliantEnabled,
Adjust,setPlayStoreKidsAppEnabled,
Adjust,manageLimitedDataUse,
mixpanel,opt_out_tracking,Mixpanel
mixpanel,init,Mixpanel
mixpanel,identify,Mixpanel
"AdColony(Digital Turbine, fyber)",setGdprConsent,InneractiveAdManager
"AdColony(Digital Turbine, fyber)",setGdprConsentString,InneractiveAdManager
"AdColony(Digital Turbine, fyber)",clearGdprConsentData,InneractiveAdManager
"AdColony(Digital Turbine, fyber)",setUSPrivacyString,InneractiveAdManager
"AdColony(Digital Turbine, fyber)",clearUSPrivacyString,InneractiveAdManager
"AdColony(Digital Turbine, fyber)",setLgpdConsent,InneractiveAdManager
"AdColony(Digital Turbine, fyber)",currentAudienceAppliesToCoppa,InneractiveAdManager
"AdColony(Digital Turbine, fyber)",useSecureConnections,InneractiveAdManager
"AdColony(Digital Turbine, fyber)",setUserParams,InneractiveAdManager
HyprMX,setConsentStatus,HyprMX
HyprMX,setAgeRestrictedUser,HyprMX
Taboola,cdns,
Taboola,cex,
Taboola,setExtraProperties,taboolaWidget
Taboola,Passing CCPA status,
Taboola,Passing consent status,
Yandex Metrica,setAgeRestrictedUser,
Yandex Metrica,setUserConsent,
Yandex Metrica,contextual data accounting,
TradPlus,checkCurrentArea,TradPlusSdk
TradPlus,setCCPADoNotSell,TradPlusSdk
TradPlus,setCOPPAIsAgeRestrictedUser,TradPlusSdk
TradPlus,setGDPRDataCollection,TradPlusSdk
TradPlus,setLGPDConsent,TradPlusSdk
Flurry Analytics,openPrivacyDashboard,FlurryAgent
Flurry Analytics,setDataSaleOptOut,FlurryAgent
Flurry Analytics,deleteData,FlurryAgent
Flurry Analytics,setGppConsent,FlurryAgent
Flurry Analytics,updateFlurryConsent,FlurryAgent
Flurry Analytics,setUserId,FlurryAgent
Flurry Analytics,setReportLocation,FlurryAgent
Flurry Analytics,setSslPinningEnabled,FlurryAgent
Google Ad Manager,putPublisherFirstPartyIdEnabled,MobileAds
Google Ad Manager,setRDP,
Google Ad Manager,setIABUSPrivacyString,
Google Ad Manager,UserMessagingPlatform,",UserMessagingPlatform"
Google Ad Manager,ConsentForm,UserMessagingPlatform
Google Ad Manager,ConsentInformation,UserMessagingPlatform
Google Ad Manager,AdManagerAdRequest,AdManagerAdRequest.Builder
Google Ad Manager,AdManagerAdRequest.Builder,",AdManagerAdRequest"
Google Ad Manager,addNetworkExtrasBundle,AdManagerAdRequest.Builder
Leanplum,setUserAttributespost,User Information
Leanplum,deleteUserpost,User Information
Leanplum,blockpost,User Information
Leanplum,exportUserget,Export Data
Leanplum,setDeviceAttributespost,User Information
Leanplum,setTrafficSourceInfopost,User Information
Leanplum,registerDevicepost,User Information
Leanplum,block,",User Information,Leanplum"
Leanplum,exportUser,",Export Data,Leanplum"
Leanplum,setUserAttributes,",Leanplum"
Leanplum,setDeviceAttributes,
Leanplum,registerDevice,
Leanplum,deleteUser,",Leanplum"
Leanplum,disableLocationCollection,",Leanplum,Android location services"
Leanplum,setDeviceLocation,",Leanplum,Android location services"
MyTarget,setUserConsent,MyTargetPrivacy
MyTarget,setUserAgeRestricted,MyTargetPrivacy
MyTarget,setCcpaUserConsent,MyTargetPrivacy
AdMob,putPublisherFirstPartyIdEnabled,MobileAds
AdMob,setTagForChildDirectedTreatment,RequestConfiguration.Builder
AdMob,setTagForUnderAgeOfConsent,RequestConfiguration.Builder
AdMob,setMaxAdContentRating,RequestConfiguration.Builder
AdMob,setPublisherPrivacyPersonalizationState,RequestConfiguration
AdMob,RequestConfiguration,RequestConfiguration
AdMob,addNetworkExtrasBundle,AdRequest.Builder
